Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Semi-D,4.0,2.0,140.0,B3,975000.0,No,No,53.3040903,-6.238202299999999,6.088,6.147,6.11,7.631,20.544,Sandymount Strand,4.505,D14,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,2.564102564102564
Apartment,2.0,1.0,66.0,D1,260000.0,No,No,53.3285399,-6.4311354,35.574,14.011,14.522,18.663,27.833,Blackrock,27.778,D22,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,0.0
Apartment,1.0,1.0,59.0,C1,299000.0,No,No,53.3488512,-6.279070399999999,4.187,2.414,2.601,2.406,12.905,Ringsend,6.089,D07,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,15.719063545150503
Bungalow,4.0,1.0,132.0,G,975000.0,No,No,53.2907407,-6.205941699999999,8.343,8.34,8.432,9.262,22.374,Blackrock,2.949,A94,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,7.794871794871796
Apartment,2.0,2.0,80.0,B3,410000.0,No,No,53.2587111,-6.2218584,12.881,12.162,12.452,14.566,35.436,Blackrock,8.661,D18,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,11.463414634146343
Apartment,1.0,1.0,46.0,E2,325000.0,No,No,53.3113298,-6.2216512,5.417,5.445,5.506,6.326,19.872,Sandymount Strand,3.39,D04,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,7.6923076923076925
Detached,5.0,3.0,172.0,E2,895000.0,No,No,53.2719129,-6.1656892,11.609,11.7,12.182,12.699,37.313,Monkstown,3.692,D18,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,3.35195530726257
Detached,4.0,3.0,196.0,B3,700000.0,No,No,53.5670709,-6.4088267,39.284,30.543,32.099,65.77,26.197,Ringsend,40.284,A42,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,8.571428571428571
Semi-D,3.0,2.0,111.0,Unknown,350000.0,No,No,53.2788681,-6.421587,35.133,16.504,17.8,18.074,27.392,Blackrock,22.541,D24,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,18.857142857142858
Apartment,2.0,1.0,48.0,C1,340000.0,No,No,53.3501215,-6.2386108,1.199,0.711,1.152,1.019,15.199,Ringsend,3.658,D01,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-2.941176470588235
Apartment,2.0,2.0,77.0,C1,380000.0,No,No,53.2822334,-6.3013143,10.801,9.831,11.054,11.035,27.431,Ringsend,10.086,D16,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,13.157894736842104
Terrace,3.0,2.0,96.0,C3,385000.0,No,No,53.35329979999999,-6.372596199999999,24.601,9.488,9.251,9.259,16.86,Blackrock,24.959,D20,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,16.272727272727273
Terrace,3.0,3.0,165.0,B3,850000.0,No,No,53.2969355,-6.236939599999999,7.203,7.227,7.226,8.928,35.865,Sandymount Strand,5.62,D14,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,15.294117647058824
Apartment,3.0,2.0,97.0,B3,500000.0,No,No,53.377049,-6.2428696,4.54,4.354,4.364,5.002,7.421,Clontarf Seafront,5.343,D09,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,0.0
Apartment,3.0,3.0,107.0,C2,545000.0,No,No,53.3426894,-6.23952,1.288,1.291,1.293,1.362,15.732,Ringsend,0.975,D02,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-12.477064220183486
Semi-D,3.0,3.0,117.0,C3,550000.0,No,No,53.3745407,-6.3937437,23.733,11.702,11.723,12.859,15.993,Ringsend,24.733,D15,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,4.545454545454546
Apartment,1.0,1.0,47.0,Unknown,375000.0,No,No,53.3366117,-6.2426163,2.062,2.057,2.067,3.581,16.506,Ringsend,1.627,D02,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,7.253333333333334
Semi-D,3.0,1.0,128.0,F,795000.0,No,No,53.3023847,-6.2314907,6.415,6.474,7.244,8.293,20.871,Blackrock,4.592,D14,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,20.440251572327046
