Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"152 Winter Gardens, Pearse St, Dublin 2, Dublin 2, Dublin",Apartment,2,1,71.0 m²,D1,—,09/01/2025,"€375,000","€420,000"
"33 Grosvenor Place, Rathmines, Dublin 6, Dublin 6, Dublin",Terrace,3,2,146.0 m²,C3,—,09/01/2025,"€895,000","€1,175,000"
"116 Malahide Marina, Malahide, Dublin, Dublin",Apartment,1,1,52.0 m²,C1,—,09/01/2025,"€385,000","€420,500"
"31 Ashfield Ave, Kingswood, Tallaght, Dublin",Semi-D,3,1,89.0 m²,—,—,09/01/2025,"€390,000","€450,000"
"30 Merrion Village, Merrion Rd, Ballsbridge Dublin 4, Dublin 4, Dublin",Apartment,3,3,155.0 m²,C2,—,09/01/2025,"€1,250,000","€1,175,000"
"5 Glebe Close, Newcastle, Dublin, Dublin 22, Dublin",End of Terrace,3,3,113.0 m²,C2,—,09/01/2025,"€375,000","€440,600"
"6 Grangefield, Ballinteer, Dublin 16, Dublin 16, Dublin",Semi-D,4,2,116.0 m²,C1,—,09/01/2025,"€550,000","€638,000"
"2 Cloonmore Ave, Jobstown, Tallaght Dublin 24, Dublin 24, Dublin",End of Terrace,3,2,105.0 m²,C2,—,09/01/2025,"€235,000","€336,000"
"17 Harcourt Terrace, Dublin 2, Dublin 2, Dublin",End of Terrace,3,3,188.0 m²,B3,—,10/01/2025,"€2,000,000","€2,075,000"
"214 Cashel Rd, Crumlin, Dublin 12, Dublin 12, Dublin",End of Terrace,2,1,62.0 m²,G,—,10/01/2025,"€280,000","€302,000"
"20 Greentrees Dr, Manor Estate, Dublin 12, Dublin 12, Dublin",Semi-D,3,2,114.0 m²,D2,—,10/01/2025,"€610,000","€735,000"
"26 Bushy Park Rd, Rathgar, Dublin 6, Dublin 6, Dublin",Semi-D,5,2,190.1 m²,F,—,10/01/2025,"€1,250,000","€1,400,000"
"18 Adelaide Terrace, Brookfield Rd, Kilmainham Dublin 8, Dublin 8, Dublin",Terrace,3,1,93.0 m²,G,—,10/01/2025,"€570,000","€571,000"
"Cintra, Leopardstown Rd, Foxrock Dublin 18, Dublin 18, Dublin",Detached,5,3,285.0 m²,G,—,10/01/2025,"€1,400,000","€1,449,000"
"29 Kilvere Park, Cypress Downs, Templeogue Dublin 6w, Dublin",Terrace,2,3,93.0 m²,C1,—,10/01/2025,"€475,000","€550,000"
"23 Measc Cresent, Artane, Dublin 5, Dublin 5, Dublin",Terrace,4,1,105.0 m²,—,—,10/01/2025,"€400,000","€461,000"
"304 Longboat Quay North, Sir John Rogersons Quay, Dublin 2, Dublin 2, Dublin",Apartment,3,2,86.0 m²,D1,—,10/01/2025,"€595,000","€595,000"
"16 Oakdale Drive, Johnstown Road, Dun Laoghaire, Dublin",Semi-D,3,1,106.0 m²,D2,—,10/01/2025,"€640,000","€640,000"
"17 Castlegate Copse, Adamstown Castle, Lucan, Dublin",Duplex,2,3,93.0 m²,—,—,10/01/2025,"€340,000","€350,000"
"14 Willowfield, Sandymount, Dublin 4, Dublin 4, Dublin",Terrace,2,1,57.0 m²,—,—,10/01/2025,"€525,000","€575,000"
"3 Mariners Court, Dublin Rd, Kilbarrack, Dublin",Apartment,2,1,82.5 m²,C1,—,10/01/2025,"€425,000","€435,000"
"8 Glencairn Heath, Leopardstown, Dublin 18, Dublin 18, Dublin",Semi-D,3,3,123.0 m²,—,—,10/01/2025,"€595,000","€650,000"
"90 Northway, Finglas, Dublin 11, Dublin 11, Dublin",Semi-D,—,—,112.0 m²,—,—,10/01/2025,"€385,000","€425,000"
"43 Walkinstown Dr, Walkinstown, Dublin 12, Dublin 12, Dublin",Semi-D,4,3,150.0 m²,C3,—,10/01/2025,"€550,000","€661,000"
"13 River View, Rolestown, Dublin, Dublin",Detached,4,4,169.0 m²,—,—,10/01/2025,"€750,000","€755,000"
"22 Esker Lawns, Lucan, Co Dublin, Dublin",Semi-D,3,2,100.0 m²,E1,—,10/01/2025,"€480,000","€479,000"
"Kilkerry, Sandyford Rd, Sandyford Dublin 16, Dublin 16, Dublin",Detached,5,3,221.0 m²,D2,—,10/01/2025,"€1,425,000","€1,425,000"
"47 Weirview Dr, Stillorgan, Dublin, Dublin",Semi-D,3,2,132.0 m²,E2,—,10/01/2025,"€775,000","€840,000"
"136 Broadmeadows, Swords, Dublin, Dublin",Semi-D,4,1,92.0 m²,D2,—,10/01/2025,"€395,000","€450,000"
"105 Foxrock Park, Foxrock, Dublin 18, Dublin 18, Dublin",Semi-D,4,2,123.0 m²,D2,—,10/01/2025,"€765,000","€745,000"
"39 Mount Eagle Court, Leopardstown Hts, Leopardstown Dublin 18, Dublin 18, Dublin",Detached,3,3,100.0 m²,C3,—,10/01/2025,"€595,000","€605,000"
"5 Beaufield Manor, Woodlands Ave, Stillorgan, Dublin",Terrace,2,1,71.0 m²,C2,—,10/01/2025,"€450,000","€535,000"
"36 Woodlands Park, Dun Laoghaire, Dublin, Dublin",Semi-D,4,2,135.0 m²,E1,—,10/01/2025,"€695,000","€730,000"
"29 Greenwood Avenue, Ayrfield, Dublin 13, Dublin 13, Dublin",Semi-D,3,2,97.0 m²,C2,—,10/01/2025,"€395,000","€458,000"
