Address_x,Eircode,nearest_coast_name,coast_distance_km,coast_duration_min,coast_distance_m,coast_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"35 Temple Manor Way, Walkinstown, Dublin 12, Dublin 12, Dublin",D12XK00,Ringsend,9.926,27.833333333333332,9926,1670,Semi-D,3,2,115.0 m²,—,—,22/05/2025,"€475,000","€575,000","35 TEMPLE MANOR WAY, WALKINSTOWN, DUBLIN 12",22/05/2025,"35 TEMPLE MANOR WAY, WALKINSTOWN, DUBLIN 12",Dublin,"ï¿½575,000.00",No,No,Second-Hand Dwelling house /Apartment,
"40 O Hogan Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",D10TW71,Ringsend,9.278,28.6,9278,1716,Semi-D,3,2,101.0 m²,—,—,22/05/2025,"€335,000","€452,000","40 O HOGAN RD, BALLYFERMOT, DUBLIN 10",22/05/2025,"40 O HOGAN RD, BALLYFERMOT, DUBLIN 10",Dublin,"ï¿½452,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 Hazelbrook Rd, Terenure, Dublin 6w, Dublin",D6WDX71,Ringsend,6.483,20.15,6483,1209,Semi-D,3,2,125.0 m²,G,—,22/05/2025,"€795,000","€765,000","22 HAZELBROOK RD, TERENURE, DUBLIN 6W",22/05/2025,"22 HAZELBROOK RD, TERENURE, DUBLIN 6W",Dublin,"ï¿½765,000.00",No,No,Second-Hand Dwelling house /Apartment,
"133 Palmerstown Woods, Clondalkin Dublin 22, Dublin, Dublin 22, Dublin",D22PK25,Blackrock,23.91,31.933333333333334,23910,1916,Semi-D,3,2,86.0 m²,D1,—,22/05/2025,"€320,000","€382,000","133 PALMERSTOWN WOODS, CLONDALKIN DUBLIN 22, DUBLIN",22/05/2025,"133 PALMERSTOWN WOODS, CLONDALKIN DUBLIN 22, DUBLIN",Dublin,"ï¿½382,000.00",No,No,Second-Hand Dwelling house /Apartment,
"63 Carleton Road, Marino, Dublin 3, Dublin 3, Dublin",D03NX86,Clontarf Seafront,2.82,6.8,2820,408,House,3,1,100.0 m²,F,—,22/05/2025,"€525,000","€580,000","63 CARLETON ROAD, MARINO, DUBLIN 3",22/05/2025,"63 CARLETON ROAD, MARINO, DUBLIN 3",Dublin,"ï¿½580,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2 Beechmount Dr, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14EH21,Sandymount Strand,4.759,13.166666666666666,4759,790,Semi-D,3,3,205.0 m²,B2,—,22/05/2025,"€1,250,000","€1,350,000","2 BEECHMOUNT DR, CLONSKEAGH, DUBLIN 14",22/05/2025,"2 BEECHMOUNT DR, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½1,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Liffey Rise, Liffey Valley Park, Lucan, Dublin",K78X262,Ringsend,26.972,28.2,26972,1692,Semi-D,3,3,90.0 m²,C2,—,22/05/2025,"€420,000","€430,000","15 LIFFEY RISE, LIFFEY VALLEY PARK, LUCAN",22/05/2025,"15 LIFFEY RISE, LIFFEY VALLEY PARK, LUCAN",Dublin,"ï¿½430,000.00",No,No,Second-Hand Dwelling house /Apartment,
"7 Tyrconnell St, Inchicore, Dublin 8, Dublin 8, Dublin",D08F25V,Ringsend,8.107,24.783333333333335,8107,1487,Terrace,3,1,87.0 m²,B3,—,22/05/2025,"€375,000","€465,000","7 TYRCONNELL ST, INCHICORE, DUBLIN 8",22/05/2025,"7 TYRCONNELL ST, INCHICORE, DUBLIN 8",Dublin,"ï¿½465,000.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Maplewood Ave, Springfield, Tallaght, Dublin 24, Dublin",D24K0W7,Ringsend,14.376,35.85,14376,2151,Terrace,3,1,80.0 m²,E1,—,22/05/2025,"€320,000","€300,000","62 MAPLEWOOD AVE, SPRINGFIELD, TALLAGHT",22/05/2025,"62 MAPLEWOOD AVE, SPRINGFIELD, TALLAGHT",Dublin,"ï¿½300,000.00",No,No,Second-Hand Dwelling house /Apartment,
"18 Colthurst Crescent, Lucan, Dublin, Dublin",K78EH70,Ringsend,28.738,30.533333333333335,28738,1832,Semi-D,3,2,88.0 m²,C3,—,22/05/2025,"€430,000","€454,000","18 COLTHURST CRESCENT, LUCAN, DUBLIN",22/05/2025,"18 COLTHURST CRESCENT, LUCAN, DUBLIN",Dublin,"ï¿½454,000.00",No,No,Second-Hand Dwelling house /Apartment,
"34 Oakwood Grove, Clondalkin, Dublin 22, Dublin 22, Dublin",D22X0N2,Blackrock,23.966,32.25,23966,1935,Terrace,3,1,91.0 m²,—,—,22/05/2025,"€325,000","€415,000","34 OAKWOOD GROVE, CLONDALKIN, DUBLIN 22",22/05/2025,"34 OAKWOOD GROVE, CLONDALKIN, DUBLIN 22",Dublin,"ï¿½415,000.00",No,No,Second-Hand Dwelling house /Apartment,
"63 Lilys Way, Ongar Green, Ongar Village Dublin 15, Dublin 15, Dublin",D15F5P1,Ringsend,28.272,29.616666666666667,28272,1777,Terrace,2,2,101.0 m²,B2,—,22/05/2025,"€350,000","€422,000","63 LILYS WAY, ONGAR GREEN, ONGAR VILLAGE DUBLIN 15",22/05/2025,"63 LILYS WAY, ONGAR GREEN, ONGAR VILLAGE DUBLIN 15",Dublin,"ï¿½422,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 21, 2 Georges Quay, Dublin 2, Dublin 2, Dublin",D02ET67,Ringsend,2.679,11.066666666666666,2679,664,Apartment,2,1,62.0 m²,C1,—,22/05/2025,"€425,000","€431,000","APT 21, 2 GEORGES QUAY, DUBLIN 2",22/05/2025,"APT 21, 2 GEORGES QUAY, DUBLIN 2",Dublin,"ï¿½431,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Montclair, Claremont Road, Killiney, Dublin",A96D400,Killiney Beach,1.587,3.6666666666666665,1587,220,Detached,5,4,232.0 m²,A3,—,22/05/2025,"€1,995,000","€1,955,500","3 MONTCLAIR, CLAREMONT ROAD, KILLINEY",22/05/2025,"3 MONTCLAIR, CLAREMONT ROAD, KILLINEY",Dublin,"ï¿½1,955,500.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Berwick House, Coliemore Road, Dalkey, Dublin",A96K197,Dalkey,0.836,2.4,836,144,Apartment,3,2,93.0 m²,C3,—,22/05/2025,"€795,000","€770,000","1 BERWICK HOUSE, COLIEMORE ROAD, DALKEY",22/05/2025,"1 BERWICK HOUSE, COLIEMORE ROAD, DALKEY",Dublin,"ï¿½770,000.00",No,No,Second-Hand Dwelling house /Apartment,
"12 Melville Rise, Cityside, Meakstown Dublin 11, Dublin 11, Dublin",D11HF89,Ringsend,17.929,21.883333333333333,17929,1313,Terrace,4,3,138.0 m²,—,—,22/05/2025,"€350,000","€415,000","12 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",22/05/2025,"12 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",Dublin,"ï¿½415,000.00",No,No,Second-Hand Dwelling house /Apartment,
"14 Coach Rd Manor, Balrothery, Balbriggan, Dublin 15, Dublin",K32E785,Ringsend,31.872,28.666666666666668,31872,1720,Semi-D,4,3,137.0 m²,C2,—,22/05/2025,"€460,000","€465,000","14 COACH RD MANOR, BALROTHERY, BALBRIGGAN",22/05/2025,"14 COACH RD MANOR, BALROTHERY, BALBRIGGAN",Dublin,"ï¿½465,000.00",No,No,Second-Hand Dwelling house /Apartment,
"7 Grangemore Lawn, Dublin 13, Dublin, Dublin 13, Dublin",D13P5P7,Bull Island,6.764,13.433333333333334,6764,806,Semi-D,3,1,92.0 m²,D2,—,22/05/2025,"€465,000","€520,000","7 GRANGEMORE LAWN, DUBLIN 13, DUBLIN",22/05/2025,"7 GRANGEMORE LAWN, DUBLIN 13, DUBLIN",Dublin,"ï¿½520,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Khamsin, 1 Kilgobbin Lawn, Kilgobbin Rd Dublin 18, Dublin 18, Dublin",D18X9R5,Blackrock,7.917,17.933333333333334,7917,1076,Detached,5,3,226.0 m²,—,—,22/05/2025,"€1,295,000","€1,220,000","KHAMSIN, 1 KILGOBBIN LAWN, KILGOBBIN RD DUBLIN 18",22/05/2025,"KHAMSIN, 1 KILGOBBIN LAWN, KILGOBBIN RD DUBLIN 18",Dublin,"ï¿½1,220,000.00",No,No,Second-Hand Dwelling house /Apartment,
"85 The Malthouse, Marrowbone Lane, Dublin 8, Dublin 8, Dublin",D08W684,Ringsend,5.626,19.7,5626,1182,Apartment,2,1,70.0 m²,B3,—,22/05/2025,"€345,000","€402,000","85 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",22/05/2025,"85 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin,"ï¿½402,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 8 Block C, Smithfield Market, Dublin 7, Dublin 7, Dublin",D07TD53,Ringsend,5.451,22.616666666666667,5451,1357,Apartment,2,2,79.0 m²,D2,—,22/05/2025,"€470,000","€498,000","APT 8 BLOCK C, SMITHFIELD MARKET, DUBLIN 7",22/05/2025,"APT 8 BLOCK C, SMITHFIELD MARKET, DUBLIN 7",Dublin,"ï¿½498,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 Wentworth, Eblana Villas, Dublin 2, Dublin",D02EF24,Ringsend,1.619,5.716666666666667,1619,343,End of Terrace,4,3,130.0 m²,E1,—,22/05/2025,"€595,000","€650,000","11 WENTWORTH, EBLANA VILLAS, DUBLIN 2",22/05/2025,"11 WENTWORTH, EBLANA VILLAS, DUBLIN 2",Dublin,"ï¿½650,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2 Arbour Hill, Smithfield, Dublin 7, Dublin 7, Dublin",D07K5W6,Ringsend,5.939,21.5,5939,1290,Terrace,4,1,85.0 m²,—,—,22/05/2025,"€489,000","€630,000","2 ARBOUR HILL, SMITHFIELD, DUBLIN 7",22/05/2025,"2 ARBOUR HILL, SMITHFIELD, DUBLIN 7",Dublin,"ï¿½630,000.00",No,No,Second-Hand Dwelling house /Apartment,
"252 Marina Village, Malahide, Dublin, Dublin",K36XE92,Howth Head,13.346,24.816666666666666,13346,1489,Apartment,1,1,49.0 m²,C2,—,22/05/2025,"€375,000","€390,000","252 MARINA VILLAGE, MALAHIDE, DUBLIN",22/05/2025,"252 MARINA VILLAGE, MALAHIDE, DUBLIN",Dublin,"ï¿½390,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 614 The Edges 1, Beacon South Quarter, Sandyford Dublin 18, Dublin 18, Dublin",D18WT22,Blackrock,5.096,14.35,5096,861,Apartment,2,2,76.0 m²,B2,—,23/05/2025,"€430,000","€485,000","APT 614 THE EDGES 1, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",23/05/2025,"APT 614 THE EDGES 1, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",Dublin,"ï¿½485,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Fernwood Park, Springfield, Tallaght Dublin 24, Dublin 24, Dublin",D24W4C6,Ringsend,14.225,35.53333333333333,14225,2132,Terrace,3,1,83.8 m²,D2,—,23/05/2025,"€315,000","€342,500","3 FERNWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24",23/05/2025,"3 FERNWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin,"ï¿½342,500.00",No,No,Second-Hand Dwelling house /Apartment,
"22 Colthurst Close, Lucan, Dublin, Dublin",K78TW68,Ringsend,28.915,31.25,28915,1875,Semi-D,3,2,95.0 m²,C2,—,23/05/2025,"€445,000","€520,000","22 COLTHURST CLOSE, LUCAN, DUBLIN",23/05/2025,"22 COLTHURST CLOSE, LUCAN, DUBLIN",Dublin,"ï¿½520,000.00",No,No,Second-Hand Dwelling house /Apartment,
"9 Charlemont Rd, Clontarf, Dublin 3, Dublin 3, Dublin",D03FT02,Clontarf Seafront,2.749,6.466666666666667,2749,388,Terrace,3,2,120.0 m²,G,—,23/05/2025,"€625,000","€730,000","9 CHARLEMONT RD, CLONTARF, DUBLIN 3",23/05/2025,"9 CHARLEMONT RD, CLONTARF, DUBLIN 3",Dublin,"ï¿½730,000.00",No,No,Second-Hand Dwelling house /Apartment,
"405 The Edges One, Beacon South Quarter, Sandyford Dublin 18, Dublin 18, Dublin",D18H2K0,Blackrock,5.096,14.35,5096,861,Apartment,1,1,43.0 m²,D1,—,23/05/2025,"€290,000","€318,000","405 THE EDGES ONE, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",23/05/2025,"405 THE EDGES ONE, BEACON SOUTH QUARTER, SANDYFORD DUBLIN 18",Dublin,"ï¿½318,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Station Rd Cottages, Station Rd, Sutton Dublin 13, Dublin 13, Dublin",D13XP44,Howth Head,4.031,8.0,4031,480,House,3,1,80.0 m²,G,—,23/05/2025,"€750,000","€675,000","1 STATION RD COTTAGES, STATION RD, SUTTON DUBLIN 13",23/05/2025,"1 STATION RD COTTAGES, STATION RD, SUTTON DUBLIN 13",Dublin,"ï¿½675,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Parkview, 5 Park Rd, Dun Laoghaire, Dublin",A96HX31,Dún Laoghaire,0.991,4.1,991,246,End of Terrace,5,4,301.0 m²,—,—,23/05/2025,"€2,395,000","€2,230,000","PARKVIEW, 5 PARK RD, DUN LAOGHAIRE",23/05/2025,"PARKVIEW, 5 PARK RD, DUN LAOGHAIRE",Dublin,"ï¿½2,230,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Measc Rd, Artane, Dublin 5, Dublin 5, Dublin",D05C6K6,Clontarf Seafront,3.114,8.15,3114,489,Terrace,3,1,72.0 m²,E2,—,23/05/2025,"€350,000","€458,000","15 MEASC RD, ARTANE, DUBLIN 5",23/05/2025,"15 MEASC RD, ARTANE, DUBLIN 5",Dublin,"ï¿½458,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Coolock Drive, Coolock, Dublin 17, Dublin",D17N670,Clontarf Seafront,4.724,12.316666666666666,4724,739,End of Terrace,5,3,101.5 m²,E1,—,23/05/2025,"€395,000","€390,000","1 COOLOCK DRIVE, COOLOCK, DUBLIN 17",23/05/2025,"1 COOLOCK DRIVE, COOLOCK, DUBLIN 17",Dublin,"ï¿½390,000.00",No,No,Second-Hand Dwelling house /Apartment,
"9 Richview Villas, Clonskeagh Road, Dublin 14, Dublin 14, Dublin",D14A3A0,Sandymount Strand,3.79,10.616666666666667,3790,637,Detached,5,3,186.2 m²,—,—,23/05/2025,"€1,275,000","€1,315,000","9 RICHVIEW VILLAS, CLONSKEAGH ROAD, DUBLIN 14",23/05/2025,"9 RICHVIEW VILLAS, CLONSKEAGH ROAD, DUBLIN 14",Dublin,"ï¿½1,315,000.00",No,No,Second-Hand Dwelling house /Apartment,
"10 Ralph Mews, Newtownpark Ave, Blackrock, Dublin",A94T2V9,Blackrock,2.156,7.333333333333333,2156,440,End of Terrace,2,1,74.0 m²,—,—,23/05/2025,"€395,000","€425,050","10 RALPH MEWS, NEWTOWNPARK AVE, BLACKROCK",23/05/2025,"10 RALPH MEWS, NEWTOWNPARK AVE, BLACKROCK",Dublin,"ï¿½425,050.00",No,No,Second-Hand Dwelling house /Apartment,
"107 Westend Gate, Cookstown Way, Tallaght Dublin 24, Dublin 24, Dublin",D24FWC3,Ringsend,13.815,34.18333333333333,13815,2051,Apartment,2,2,64.0 m²,C1,—,23/05/2025,"€250,000","€265,000","107 WESTEND GATE, COOKSTOWN WAY, TALLAGHT DUBLIN 24",23/05/2025,"107 WESTEND GATE, COOKSTOWN WAY, TALLAGHT DUBLIN 24",Dublin,"ï¿½265,000.00",No,No,Second-Hand Dwelling house /Apartment,
